Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
NC State (ACC),0,12,0.509,0.323,0.615,0.524,0.679,4.67,45.92,18.58,25,36.86,8.47,12.48,327.7,7.6,12.86,271.2,9.15,0.738,3.57,0.871,4.41,3.53,109.1,3.87,143.7,0.83,22.7,35.6,5.83,2.92,6.7,33.12,5.71,380.3,6.22,471.3,0.17,0.75,ACC,0.001,12.9,0,5,2018
North Carolina (ACC),0,11,0.345,0.438,0.476,0.5,0.588,6,55.64,22.64,21.27,38.74,6.6,11.23,249.1,7.27,12.84,228.8,14.3,0.833,4.38,0.822,4.07,5.05,218.8,5.28,193,0.91,34.5,27.4,5.55,2.91,7.2,28.25,5.98,447.6,5.95,442.1,-0.55,0.182,ACC,0.001,-7.1,0,5,2018
Pittsburgh (ACC),0,13,0.373,0.417,0.471,0.52,0.596,7.31,69.46,20.62,17.23,37.56,6.44,10.81,142.2,7.19,12.67,217.3,7.29,0.816,4.22,0.806,4.42,4.93,184.1,5.64,229.5,2.31,28.8,26.6,6.62,2.23,6.2,32.48,5.94,401.4,5.92,371.8,0.15,0.538,ACC,0.2,-2.2,0,5,2018
Syracuse (ACC),0,12,0.401,0.281,0.556,0.5,0.58,6.92,56.5,20.08,23.58,39.31,7.28,12.55,261.5,7.43,13.37,263,14.83,0.766,3.89,0.884,4.43,4.35,163.8,4.47,207.3,2.67,27.8,40.8,6.42,3.17,7.1,30.47,5.84,426.8,5.69,468.8,1.17,0.75,ACC,0.333,13,0,5,2018
Virginia (ACC),0,12,0.474,0.417,0.583,0.474,0.63,4.67,41.5,16.75,20.67,38.17,7.78,12.34,211.9,6.47,12.07,180.1,6.55,0.875,4.31,0.735,3.67,4.47,157.1,4.54,170.6,2.5,21.8,28.5,5.75,1.92,4.8,31.72,5.35,337.2,5.9,382.5,0.08,0.583,ACC,1,6.7,0,5,2018
Virginia Tech (ACC),0,12,0.369,0.382,0.56,0.444,0.578,5.42,51.83,20.08,22.17,38.18,7.74,13.4,256.8,7.7,12.67,230.3,6.58,0.776,4.04,0.919,4.86,5.33,206.5,4.3,170.2,2.25,30.7,29.8,5.92,2,6.4,30.15,6.36,436.8,5.87,426.9,0.33,0.5,ACC,0.5,-0.9,0,5,2018
Wake Forest (ACC),0,12,0.429,0.426,0.565,0.52,0.56,4,41.5,22.33,24.5,37.22,6.82,12.18,228.4,7.15,11.22,274,11.48,0.946,5.27,0.839,4.29,4.85,191.3,4.48,214.8,2.67,33.3,32.5,6.83,1.83,6.2,28.13,5.98,465.3,5.44,443.2,-0.25,0.5,ACC,0.25,-0.8,0,5,2018
Baylor (Big 12),0,12,0.438,0.433,0.471,0.538,0.61,7.75,70.42,20.42,25.08,39.37,7.51,12.31,282.2,7.65,12.49,238.4,6.59,0.909,4.45,0.755,4.04,5.04,174.8,4.2,159.5,3.08,31.2,28.3,7.25,2,5.5,32.43,6.28,413.3,5.84,441.7,-0.75,0.5,Big 12,0.001,-2.9,0,5,2018
Iowa St. (Big 12),0,12,0.403,0.421,0.529,0.5,0.652,4.33,37.83,18.92,19.08,37.68,8.38,12.86,234.8,7.02,11.39,228.8,12.57,0.738,3.79,0.902,4.54,3.33,122.3,3.49,124.3,2.33,22.5,26.8,5.75,2.58,6.9,28.83,5.06,351,5.65,359,-0.08,0.667,Big 12,0.5,4.3,0,5,2018
Kansas (Big 12),0,12,0.391,0.456,0.368,0.444,0.584,6.5,55.75,21.92,17.92,38.75,5.89,10.07,192.3,8.2,12.65,246.8,4.93,0.792,4.25,0.75,3.86,4.4,171.8,4.5,158.6,2.58,30,23.8,6.58,1.75,5.5,29.78,6.06,418.5,5.17,350.8,1.33,0.25,Big 12,0.001,-6.2,0,5,2018
Kansas St. (Big 12),0,12,0.385,0.448,0.45,0.375,0.572,4.92,44.83,21.17,18.75,37.51,6.71,11.72,162.1,6.96,11.56,245.8,12.35,0.878,4.32,0.775,3.75,4.85,157.7,4.32,182.6,2.83,25.4,22.5,7.08,1.5,4.2,31.83,5.95,403.4,5.19,344.7,0.17,0.417,Big 12,0.001,-2.9,0,5,2018
Oklahoma (Big 12),1,13,0.512,0.452,0.692,0.667,0.701,6.08,61.54,24.15,26.38,39,11.57,16.52,324,8.23,13.06,291.4,15.06,0.936,5.36,0.905,4.71,4.03,156.7,6.67,253.9,1.23,32.4,49.5,4.38,2.15,5.9,29.35,6.03,448.1,8.75,577.9,-0.15,0.923,Big 12,0.667,17.1,1,0,2018
Oklahoma St. (Big 12),0,12,0.433,0.363,0.652,0.563,0.594,6.83,70.08,22.83,26,39.13,8.25,13.89,307.9,7.49,12.11,258.3,6.47,0.729,3.88,0.889,4.67,4.47,178.8,4.77,192.1,2.67,32.4,38.4,7.08,3.25,7.8,27.43,5.87,437.1,6.44,500,-0.67,0.5,Big 12,0.75,6,0,5,2018
TCU (Big 12),0,12,0.375,0.318,0.385,0.48,0.594,4.42,39.83,19,19.17,33.92,6.99,11.78,226.8,6.5,11.63,202.6,17.63,0.806,4.08,0.75,3.66,3.63,141.8,4.08,147.8,1.17,24.4,24.7,5.67,2.5,6.7,30.67,4.9,344.4,5.46,374.6,-0.5,0.5,Big 12,0.001,0.3,0,5,2018
Texas (Big 12),0,13,0.463,0.442,0.769,0.571,0.647,7.46,64.15,20.69,23.46,36.32,7.67,11.86,264.5,7.46,12.31,265.2,12.2,0.75,3.88,0.804,4.37,3.88,135.9,3.78,151.2,2,26.2,31.3,5.23,2.31,7,32.28,5.68,401.2,5.58,415.6,0.54,0.692,Big 12,0.667,5.1,0,5,2018
Texas Tech (Big 12),0,12,0.473,0.377,0.611,0.381,0.675,8,74.17,23.08,26.58,39.06,7.91,11.72,352.6,7.97,14.07,288.3,10.07,0.783,4.04,0.879,4.71,4.09,160.6,3.64,132.6,2.08,31.1,37.3,6.42,2.33,5.8,30.22,5.95,448.9,5.99,485.2,-0.33,0.417,Big 12,0.25,6.2,0,5,2018
West Virginia (Big 12),0,11,0.449,0.361,0.692,0.632,0.668,7.18,66.82,21.91,24.82,37.63,9.68,14.48,358.1,7.8,12.39,254.6,6.3,0.846,4.38,0.816,4.53,4.1,150.8,4.59,162.3,2.18,26.5,42.3,5.27,2.18,7.8,28.78,5.84,405.5,7.19,520.4,0.55,0.727,Big 12,0.667,15.8,0,5,2018
Illinois (Big Ten),0,12,0.345,0.446,0.571,0.588,0.538,6.42,64.42,25.08,19.42,35.42,6.04,11.23,165.7,8.49,13.38,263.1,3.33,0.86,4.68,0.861,4.33,5.96,245.3,5.91,243,2.25,39.4,26,6.92,1.75,5.4,28.57,7.04,508.3,5.97,408.7,-0.33,0.333,Big Ten,0.001,-13.4,0,5,2018
Indiana (Big Ten),0,12,0.424,0.42,0.483,0.737,0.657,5.92,60.75,22.67,23.5,36.98,6.43,9.79,257.8,7.82,12.83,240.6,9.19,0.898,4.47,0.818,4.16,4.59,183.2,4.41,157.3,2.25,29.9,26.4,5.33,1.83,5.8,28.8,6,423.8,5.48,415.2,0.42,0.417,Big Ten,0.001,-3.5,0,5,2018
Iowa (Big Ten),0,12,0.456,0.348,0.667,0.435,0.586,5.08,44.92,16.58,20.83,35.88,7.25,12.36,227.7,6.06,10.38,186.8,10.81,0.808,4.38,0.849,4.58,3.14,102.8,4.15,162,1.08,17.4,31.5,4.33,2.83,5.5,33.05,4.55,289.6,5.53,389.7,0.67,0.667,Big Ten,0.001,14.1,0,5,2018
Maryland (Big Ten),0,12,0.4,0.391,0.7,0.65,0.519,8.33,79.67,21.5,16.83,38.84,7.03,13.56,141.3,7.32,13.49,206.8,4.33,0.907,4.47,0.935,4.65,4.38,183.9,5.67,230.2,2.5,28.7,28.5,6.92,1.5,4.5,29.02,5.56,390.8,6.12,371.4,0.75,0.417,Big Ten,0.2,-0.2,0,5,2018
Michigan (Big Ten),0,12,0.494,0.321,0.529,0.526,0.645,7,67,15.92,21.83,37.33,8.24,12.78,212.9,5.7,11.67,145.9,10.37,0.92,4.8,0.873,4.42,3.41,116.6,4.96,214.3,1.5,17.6,36.8,4.42,2.58,6.7,34.77,4.39,262.5,6.18,427.3,0.58,0.833,Big Ten,0.6,19.2,0,5,2018
Michigan St. (Big Ten),0,12,0.332,0.315,0.389,0.375,0.51,6.08,56.33,16.83,20.33,35.78,5.8,11.38,221,6.22,10.58,230.2,6.58,0.8,3.6,0.842,4.11,2.67,81.3,3.49,122,1.92,18,19.8,5.25,2.08,6.6,32.43,4.62,311.5,4.7,343,0.17,0.583,Big Ten,0.333,1.8,0,2,2018
Minnesota (Big Ten),0,12,0.378,0.377,0.5,0.611,0.55,3.92,39.83,18.58,20.83,41.04,7.75,14.11,215.2,6.76,10.32,223.7,22.25,0.9,4.5,0.796,4.28,5.22,170.7,4.08,163.4,2.17,27.9,28.5,4.92,1.83,5.8,32.27,6,394.3,5.58,378.6,-0.42,0.5,Big Ten,0.001,0.6,0,5,2018
Nebraska (Big Ten),0,12,0.372,0.432,0.45,0.579,0.636,7.67,70.83,22.67,23.17,37.04,7.34,11.54,247.2,6.71,11.99,237.8,9.38,0.818,4.25,0.886,4.5,5,195.8,5.41,209,2.33,31.3,30,6.42,2.08,5.2,27.72,5.81,433.5,6.31,456.2,-0.17,0.333,Big Ten,0.001,-1.3,0,5,2018
Northwestern (Big Ten),0,13,0.399,0.366,0.414,0.364,0.598,2.85,25.77,19.85,20.77,37.86,6.25,10.44,239.3,7.29,11.33,258.1,6.08,0.805,3.88,0.837,4.4,3.87,132.6,3.2,117.5,2.62,23.5,23.7,5.62,1.62,5.6,29.83,5.61,390.7,4.75,356.8,0.15,0.615,Big Ten,0.5,0.2,0,5,2018
Ohio St. (Big Ten),0,13,0.482,0.314,0.65,0.5,0.708,8.23,77.08,19.69,29.31,42.25,9.25,13.07,373,7.18,13.21,239.8,8,0.897,4.69,0.758,4.14,4.59,160.5,4.25,175.8,1.54,25.7,43.5,5,3,7.2,32.47,5.86,400.3,6.72,548.8,0.46,0.923,Big Ten,1,17.8,1,1,2018
Penn St. (Big Ten),0,12,0.379,0.345,0.533,0.423,0.547,4.83,43.92,20.33,21.42,37.36,7.54,13.79,216.1,5.58,10.46,186.5,8.68,0.719,3.94,0.923,5.02,3.99,168.4,5.21,208.6,2.08,20,34.6,5,3.58,8.3,27.53,4.69,354.9,6.18,424.7,0.08,0.75,Big Ten,0.333,14.6,0,5,2018
Purdue (Big Ten),0,12,0.387,0.353,0.563,0.5,0.66,6.25,64.75,23.58,22.25,40.98,8.1,12.26,317.8,7.22,11.66,276.9,6.15,0.82,4.08,0.917,4.5,4.42,164.6,4.54,141.2,2.25,27.3,31.9,6,2.08,4.5,29.97,5.84,441.5,6.53,459,-0.25,0.5,Big Ten,1,4.6,0,5,2018
Rutgers (Big Ten),0,12,0.324,0.486,0.474,0.5,0.487,6.25,62.33,21.17,15.17,40.09,4.52,9.27,132.2,6.33,11.37,186.7,5,0.814,4.4,0.741,3.67,5.25,214.8,3.82,134.1,1.33,31.4,13.5,4.92,1.33,5,28.9,5.7,401.5,4.14,266.3,-1.17,0.083,Big Ten,0.001,-17.9,0,5,2018
Wisconsin (Big Ten),0,12,0.408,0.383,0.417,0.538,0.59,6.08,53.5,18.67,21.67,33.28,6.75,11.43,164.8,7.03,11.87,200.8,5.6,0.837,4.12,0.894,4.79,4.4,157.9,6.28,268.4,1.75,24.3,29.3,3.5,1.5,4.8,31.42,5.56,358.8,6.45,433.2,-0.25,0.583,Big Ten,0.001,5,0,5,2018
Notre Dame (FBS Independent),1,11,0.443,0.378,0.652,0.5,0.654,5,45.5,21.18,26.09,37.41,8.3,12.7,265.6,5.35,9.54,198,10.26,0.788,3.7,0.863,4.63,3.68,133.5,4.56,190.5,1.58,17.3,33.8,5.67,2.58,6.1,29.5,4.53,331.5,6.18,456.1,0.42,1,FBS Independent,1,16.5,-1,5,2018
Arizona (Pac-12),0,12,0.436,0.411,0.5,0.607,0.555,7.92,75.67,23.67,23.5,38.92,7.87,14.18,255.3,7.35,11.51,269.5,10.1,0.771,4.19,0.844,4.07,4.2,162.5,4.94,202.4,1.67,32.6,31.3,4.08,1.92,6.3,28.25,5.73,432,6.23,457.7,-0.33,0.417,Pac-12,0.5,-1.3,0,5,2018
Arizona St. (Pac-12),0,12,0.414,0.417,0.75,0.643,0.623,6.33,56.58,22.83,21.75,37.13,7.91,12.7,241.3,7.56,12.4,238.7,10,0.86,4.26,0.87,4.37,4.09,163.1,4.8,185.7,1.25,25.1,30.8,5.75,2.42,7.2,29.38,5.63,401.8,6.17,427,0.75,0.583,Pac-12,0.5,5.7,0,5,2018
California (Pac-12),0,12,0.358,0.352,0.63,0.579,0.608,5.92,52.58,17.58,19.75,39.03,5.79,9.52,188.1,6.13,10.44,187.1,6.38,0.903,4.45,0.73,3.65,3.51,132.3,4.26,162.1,2.58,21.3,22.8,5.92,2.42,6,30.72,4.69,319.4,4.96,350.2,-0.17,0.583,Pac-12,0.333,1.5,0,5,2018
Colorado (Pac-12),0,12,0.361,0.364,0.391,0.545,0.645,5.92,55.33,20.33,20.67,37.86,7.13,11.05,249.6,6.97,12.3,234.7,7.88,0.837,3.98,0.842,4.42,3.74,145.6,3.8,143,2.83,27.3,27.1,8.67,2.42,6.5,29.62,5.24,380.3,5.4,392.6,-0.33,0.417,Pac-12,0.001,-0.2,0,5,2018
Oregon (Pac-12),0,12,0.451,0.372,0.63,0.455,0.59,5.25,50.67,21.08,22.33,37.18,7.94,13.46,254.7,7.19,12.63,247.4,12.1,0.848,3.85,0.843,4.76,3.76,143.1,4.57,191.3,1.58,27,37.2,5,2.17,5.4,28.33,5.39,390.5,6.03,445.9,0.33,0.667,Pac-12,0.5,10.2,0,3,2018
Oregon St. (Pac-12),0,12,0.364,0.5,0.694,0.636,0.602,5.58,50.17,25.5,21.92,38.35,6.95,11.54,249.2,8.29,13.02,254.9,8,0.885,4.96,0.787,4.15,6.78,281.8,3.85,155.6,4,45.7,26.1,8.25,1.25,4.4,30.17,7.42,536.8,5.31,404.8,-0.83,0.167,Pac-12,0.001,-19.6,0,5,2018
Southern California (Pac-12),0,12,0.371,0.399,0.529,0.619,0.607,8,73.58,20.5,19.25,34.8,7.44,12.25,249.1,6.57,11.21,223.3,10.5,0.818,4.36,0.8,4.03,4.29,164.4,4.09,133.5,2.25,27,26.1,5.54,2.42,6.9,28.8,5.36,387.7,5.78,382.6,-0.83,0.417,Pac-12,0.333,-0.9,0,5,2018
Stanford (Pac-12),0,12,0.413,0.385,0.667,0.552,0.651,5.5,42.25,21.17,19.92,39.86,8.46,13,287.1,7.54,12.12,274.7,11.48,0.783,3.85,0.907,4.6,3.9,140.9,3.71,108.3,1.75,23.8,29.6,5.92,2.83,5.4,30.38,5.73,415.6,6.27,395.4,0.25,0.667,Pac-12,0.5,5.8,0,5,2018
UCLA (Pac-12),0,12,0.377,0.48,0.538,0.526,0.593,6.83,57,23.42,21.08,37.15,7.08,11.94,237.8,7.94,13.04,245.5,9.09,0.895,4.74,0.811,4.22,4.6,199.4,4.12,154.8,2.67,34.1,24.6,6.25,1.25,4.6,27.57,5.99,444.9,5.52,392.6,0.08,0.25,Pac-12,0.001,-9.5,0,5,2018
Utah (Pac-12),0,13,0.378,0.342,0.579,0.5,0.617,5.15,47.77,17,20.38,40.65,7.49,12.14,209.2,6.32,11.05,213.3,8.26,0.639,3.33,0.911,4.53,2.96,101.8,4.57,186.5,2.23,18.5,28.7,6.15,2.69,7.9,29.95,4.62,315.1,5.75,395.7,0,0.692,Pac-12,0.333,10.2,0,5,2018
Washington (Pac-12),0,13,0.454,0.388,0.556,0.545,0.651,4.85,44.08,16.54,21.77,33.91,8.63,13.25,232.5,5.74,8.93,185.4,5.7,0.8,4.03,0.78,3.97,3.53,116.4,4.43,179.9,1.69,15.5,26.6,6,1.62,4.5,32.13,4.62,301.8,6.11,412.4,0.23,0.769,Pac-12,0.6,11.1,1,1,2018
Washington St. (Pac-12),0,12,0.438,0.364,0.692,0.7,0.705,6.67,64.42,19.42,24.92,40.95,7.26,10.29,379.8,6.92,11.83,210,6.43,0.861,4.58,0.867,4.9,4.02,136.6,3.73,82.1,0.92,23.1,38.3,3.5,2.92,6.7,32.37,5.39,346.6,6.21,461.8,0.5,0.833,Pac-12,0.667,15.2,0,5,2018
Alabama (SEC),1,13,0.528,0.309,0.444,0.4,0.679,5.54,50,15.85,24.62,34.39,11.31,16.66,325.5,5.86,11.31,178.4,15.19,0.667,3.7,0.838,4.63,3.36,117,5.34,202.2,1,14.8,47.9,4.31,3.23,7.5,29.77,4.52,295.4,7.92,527.6,0.62,1,SEC,1,33.1,1,0,2018
Arkansas (SEC),0,12,0.31,0.383,0.357,0.467,0.546,5.75,51.83,21.58,18.25,34.12,6.24,11.42,192.3,8.48,13.38,245.3,10.11,0.825,4.32,0.838,3.81,4.2,167.8,3.91,143.4,2.67,34.8,21.7,7.42,2.17,5.8,29.85,6,413.2,4.97,335.7,-0.83,0.167,SEC,0.001,-13.1,0,5,2018
Auburn (SEC),0,12,0.358,0.344,0.412,0.389,0.604,6.67,58.5,19.17,20.08,41.79,7,11.59,209.5,6.95,12.59,222.4,10.97,0.824,3.44,0.83,4.28,3.77,140.7,4.28,164.1,1.92,19.6,28.3,5,2.92,7.4,27.87,5.24,363.1,5.47,373.6,0.58,0.583,SEC,0.4,8.7,0,4,2018
Florida (SEC),0,12,0.408,0.372,0.556,0.429,0.597,7.5,62.42,17.75,22.42,41.35,7.66,12.84,217.2,6.13,11.48,175.1,10.08,0.9,4.4,0.824,4.24,4.41,169.7,5.17,209.5,1.25,20.4,34.5,4,2.67,6.6,29.82,5.14,344.8,6.2,426.7,0.83,0.75,SEC,0.667,14.1,0,5,2018
Georgia (SEC),0,13,0.477,0.326,0.667,0.44,0.686,5.69,49.62,16.92,23.92,37.32,9.17,13.36,227.2,5.94,9.86,180.5,16.64,0.879,4.27,0.895,4.63,4.06,130.6,6.09,251.6,1.38,18.5,39.2,4.46,1.69,4.5,31.98,4.98,311.2,7.25,478.8,0.38,0.846,SEC,0.6,20.7,0,0,2018
Kentucky (SEC),0,12,0.415,0.39,0.6,0.353,0.658,6.33,57.83,17.17,20.17,39.39,7.04,10.69,164.8,6.38,10.93,181.3,10,0.765,3.71,0.794,4.15,4.3,150.8,4.89,201.3,2,16.3,26.6,6,2.67,6.5,30.65,5.23,332.2,5.67,366.2,0,0.75,SEC,0.667,10.3,0,5,2018
LSU (SEC),0,12,0.39,0.35,0.727,0.545,0.575,5.75,54.08,19.75,21.92,41.2,7.3,12.69,214.7,5.94,11.76,206.8,6.53,0.842,4.26,0.891,4.36,3.83,139.3,4.1,174.7,2.75,20.9,31.8,6.58,2.42,6.3,30.77,4.86,346.1,5.41,389.3,1,0.75,SEC,0.667,10.9,0,5,2018
Mississippi St. (SEC),0,12,0.429,0.277,0.333,0.318,0.519,6.25,54.83,16.75,20,36.78,7.24,13.95,175.6,5.37,9.9,164.2,5.94,0.719,2.91,0.897,4.85,3.04,104.3,5.76,226.4,2,12,29.1,4.67,3,8,30.8,4.14,268.4,6.32,402,0.67,0.667,SEC,0.5,17.1,0,5,2018
Missouri (SEC),0,12,0.46,0.318,0.583,0.292,0.625,7,61.25,18.08,24.42,39.06,7.89,12.63,271.6,7.68,13.9,256.1,3.28,0.878,4.24,0.877,4.53,3.61,122.9,4.63,197.3,1.08,24.4,36.9,4.08,2.08,5.8,30.75,5.62,379,6.09,468.8,0,0.667,SEC,0.25,12.5,0,5,2018
Ole Miss (SEC),0,12,0.353,0.405,0.5,0.522,0.639,7.33,66.83,25.33,24.08,35.71,9.43,14.74,346.4,7.95,12.56,261.7,3.27,0.825,4.19,0.889,4.17,5.09,221.8,4.7,164.1,2.67,36.2,33.9,6.33,1.83,7.2,26.97,6.32,483.4,7.12,510.5,0.08,0.417,SEC,0.001,-2.3,0,5,2018
South Carolina (SEC),0,12,0.439,0.364,0.429,0.526,0.631,6.42,53.92,25.17,22.42,40.95,8.24,13.05,277.4,7.08,11.54,230.8,7.92,0.825,4.21,0.782,4.09,4.48,194.5,4.61,162.8,1.67,27.2,32.6,4.75,2,6.3,25.57,5.6,425.3,6.38,440.2,-0.33,0.583,SEC,0.001,5.4,0,5,2018
Tennessee (SEC),0,12,0.382,0.39,0.455,0.538,0.593,5.67,46.5,20.25,16,38.92,7.94,13.39,196.4,7.62,12.1,222.9,12.8,0.911,4.73,0.882,4.59,4.14,154.5,3.7,129.1,1.92,27.9,22.8,7.67,2.08,5.7,29.17,5.67,377.4,5.46,325.5,-0.08,0.417,SEC,0.4,-5.1,0,5,2018
Texas A&M (SEC),0,12,0.406,0.329,0.556,0.5,0.577,6,48.92,17.17,26.5,44.96,7.56,13.1,262,8.52,14.01,262.7,8.17,0.75,4.25,0.839,4.26,3.19,92,4.85,203.8,2.92,26.3,34.7,7.17,2.92,7.4,35.2,5.94,354.7,6.08,465.8,-0.67,0.667,SEC,0.5,8.4,0,5,2018
Vanderbilt (SEC),0,12,0.353,0.461,0.5,0.5,0.635,5.67,45.17,22.83,21.08,39.98,7.62,12.01,240.2,7.27,11.83,232.6,11,0.833,4.06,0.745,3.96,4.84,187.3,4.61,157.6,1.75,25.1,27.7,5.58,1.75,4.7,31.6,5.94,419.8,6.06,397.8,0.67,0.5,SEC,0.001,2.6,0,5,2018
Boston College (ACC),0,12,0.377,0.381,0.393,0.412,0.535,3.42,27.58,18.5,19.17,36.76,5.75,10.74,162.8,6.07,11.8,199.7,13.69,0.784,3.97,0.829,4.32,4.99,198.4,4.68,224.2,1.08,22.5,26.2,6.08,1.92,5.8,30.25,5.48,398.1,5.08,387,0.67,0.583,ACC,0.001,3.7,0,5,2017
Clemson (ACC),1,13,0.467,0.278,0.75,0.56,0.672,5,44.54,14.69,22.69,36.8,7.33,10.9,244.1,5.77,11.18,165.1,11.1,0.8,3.72,0.918,5.02,3.12,112.8,4.87,204.1,2,12.8,35.4,5.23,3.38,8,30.88,4.29,277.9,5.96,448.2,0.38,0.923,ACC,1,22.6,1,0,2017
Duke (ACC),0,12,0.379,0.337,0.625,0.286,0.557,5,42.58,16.58,22.67,35.46,5.88,10.55,210.2,6.95,13.8,174.8,5.78,0.875,4.5,0.83,3.89,4.11,160.6,4.07,167.9,2.25,20.8,25.8,6.58,2.25,6.5,30.78,5.22,335.4,4.91,378.1,0.08,0.5,ACC,0.001,5,0,5,2017
Florida St. (ACC),0,12,0.336,0.368,0.444,0.478,0.579,6,53.25,17.83,17.42,37.24,7.32,12.64,192.8,5.84,10.58,201,8.5,0.892,4.38,0.927,4.68,3.73,136,4.33,150.8,2.67,21.9,26.7,7.58,2.42,7.1,30.28,4.75,337,5.62,343.6,-0.58,0.5,ACC,0.001,4.8,0,2,2017
Georgia Tech (ACC),0,11,0.456,0.309,0.421,0.556,0.361,4,35.82,18.27,19.45,39.74,7.79,21.56,84.3,6.63,11.26,200.6,7.35,0.973,4.7,0.889,4.83,4.53,153.6,5.35,307.4,1.82,26.5,28.1,6,1.55,4.3,33.5,5.52,354.3,5.74,391.6,-0.45,0.455,ACC,0.2,1.6,0,5,2017
Louisville (ACC),0,12,0.461,0.409,0.593,0.588,0.61,6.33,51.83,20.25,27.67,39.93,8.61,14.12,310.6,7.65,13.12,232.8,4.96,0.853,4.76,0.849,4.42,4.02,153.9,6.58,249.9,2.25,27.1,39,4.67,2.08,6.1,30.42,5.63,386.8,7.57,560.5,0.25,0.667,ACC,0.001,11.9,0,5,2017
Miami (FL) (ACC),0,12,0.294,0.39,0.667,0.409,0.54,5.42,53,20.5,19.5,36,7.38,13.66,245.8,6.19,11,213.7,15.92,0.865,4.14,0.927,4.54,3.53,146.1,4.98,159.7,2.17,19.9,29.5,5.08,3.58,8.8,27.03,4.74,359.8,6.2,405.5,1.25,0.833,ACC,0.667,9.6,0,5,2017
NC State (ACC),0,12,0.428,0.407,0.565,0.476,0.64,6.08,55.58,19.17,23.25,37.15,7.15,11.17,271.8,6.95,12.46,245,13.53,0.769,3.85,0.717,3.91,3.92,132.2,4.7,177.4,1,24.8,30.6,6.17,2.25,6.8,32.58,5.47,377.2,5.93,449.3,0.42,0.667,ACC,0.5,5.8,0,5,2017
North Carolina (ACC),0,12,0.309,0.374,0.619,0.708,0.543,7.75,72.67,22.08,19.67,39.43,6.65,12.24,225.4,7.37,13.32,223.1,10.76,0.784,3.94,0.838,4.62,4.8,213,4.05,144.2,2.5,31.3,26,6.58,1.92,6,26.53,5.85,436.1,5.32,369.6,-0.5,0.25,ACC,0.001,-5.3,0,5,2017
Pittsburgh (ACC),0,12,0.357,0.406,0.65,0.471,0.619,3.83,38.17,19.83,19.67,38.22,7.22,11.66,217.7,7.8,14.12,254.2,14.3,0.765,3.88,0.771,4.37,4.2,142.4,3.87,148.5,2.58,26.6,23.9,6.58,1.92,4.7,32.45,5.96,396.6,5.35,366.2,0,0.417,ACC,0.25,-2.7,0,5,2017
Syracuse (ACC),0,12,0.397,0.311,0.579,0.5,0.584,6.17,49.42,20.67,24.42,41.29,6.46,11.06,294.8,7.79,12.79,247.3,7.21,0.813,4.31,0.83,3.96,5.23,196.7,4.05,161.5,2.67,32.2,27.4,6.83,1.33,5.6,30.15,6.4,444,5.33,456.3,-1,0.333,ACC,0.333,-4.8,0,5,2017
Virginia (ACC),0,12,0.398,0.349,0.4,0.522,0.588,4.92,46,18.42,19.17,36.3,6.39,10.87,257.3,6.71,12.53,179.6,4.76,0.703,3.81,0.788,4,4.45,178.3,3.2,98.8,2.5,26.7,23.8,6.08,2.25,5.3,31.5,5.35,357.8,5,356.2,0.17,0.5,ACC,0.001,-2.9,0,5,2017
Virginia Tech (ACC),0,12,0.394,0.251,0.455,0.476,0.6,4.58,40.25,14.67,21.42,39.94,7.68,12.81,236.9,6.89,14.68,187.2,10.81,0.667,3.38,0.788,3.87,3.3,118.1,3.76,167.2,1.75,13.5,28.8,5.42,2.42,7.8,32.22,4.85,305.3,5.36,404.1,0.58,0.75,ACC,0.333,15.3,0,5,2017
Wake Forest (ACC),0,12,0.393,0.398,0.556,0.531,0.626,5.42,41.58,23.42,22.08,38.2,8.49,13.56,266.6,6.6,11.93,252.6,8.8,0.848,4.24,0.94,4.68,4.46,191.7,4.52,184.2,1.42,26.3,33.7,5.75,2.17,8.2,26.78,5.47,444.3,6.25,450.8,0.58,0.583,ACC,0.333,7.4,0,5,2017
Baylor (Big 12),0,12,0.328,0.391,0.515,0.625,0.582,7.33,55.92,22,19.92,40.72,7.47,12.83,287.7,8.3,12.56,267,8.57,0.886,4.16,0.775,3.68,4.92,189.9,3.4,117.3,3.17,35.9,24.3,7.83,1.92,6.9,29.8,6.46,456.9,5.55,404.9,-1.17,0.083,Big 12,0.001,-11.6,0,5,2017
