Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Illinois (Big Ten),0,8,0.381,0.43,0.467,0.684,0.469,4.88,48.88,24.5,18,40.14,6.3,13.44,152.9,8.93,12.83,239,8,0.868,4.74,0.692,3.46,5.14,230.1,4.8,196.1,1.88,34.9,20.1,5.12,2.25,5.8,27.43,6.56,469.1,5.36,349,0.75,0.25,Big Ten,0.001,-14.8,0,5,2020
Indiana (Big Ten),0,7,0.378,0.367,0.455,0.182,0.575,4.14,44,19.14,19.43,40.39,7.31,12.72,258,6.85,11.98,226,9.12,0.579,3.16,0.818,4.36,4.01,135.7,2.95,100.1,1.14,19.4,30.1,4.29,3.29,6.1,30.63,5.41,361.7,5.17,358.1,1.43,0.857,Big Ten,0.75,10.7,0,5,2020
Iowa (Big Ten),0,8,0.336,0.403,0.667,0.5,0.569,4.75,39.62,17.63,19.88,42.85,6.38,11.21,197.6,6,10.37,206.1,9.7,0.727,3.95,0.917,4.75,2.84,107.6,4.62,171,1.38,16,31.8,5.12,2.75,6.5,29.23,4.34,313.8,5.42,368.6,1.12,0.75,Big Ten,0.001,15.8,0,5,2020
Maryland (Big Ten),0,5,0.379,0.417,1,0.667,0.616,8.8,79.6,25.2,18.4,38.96,8.3,13.47,264,6.06,10.75,200,2.5,0.833,4.38,0.727,3.55,4.87,230,4.8,145,3.2,32,23.6,6.6,2.8,6.6,25.38,5.36,430,6.6,409,-1.4,0.4,Big Ten,0.001,-8.4,0,5,2020
Michigan (Big Ten),0,6,0.365,0.462,0.444,0.625,0.577,5.83,57.5,24,19.33,40.71,7.05,12.21,250.3,7.37,12.46,255.5,6.71,0.926,5,0.81,4.71,4.16,178.8,4.59,131.5,1.33,34.5,28.3,4.5,1.5,4.2,25.62,5.59,434.3,5.95,381.8,-0.33,0.333,Big Ten,0.333,-6.2,0,5,2020
Michigan St. (Big Ten),0,7,0.327,0.383,0.417,0.545,0.545,7,63.71,21.29,16.14,35.26,6.91,12.67,238.9,6.79,11.1,239.4,8,0.781,4.22,0.917,4.5,3.93,157.3,2.68,91.4,2.29,35.1,18,7.29,1.71,6.3,27.17,5.27,396.7,4.81,330.3,-1.29,0.286,Big Ten,0.5,-17.1,0,4,2020
Minnesota (Big Ten),0,7,0.477,0.408,0.538,0.6,0.582,4.57,41.86,20.43,21.57,35.93,7.66,13.17,201.3,7.61,11.88,208.7,0.8,0.765,4.15,0.8,4.46,6.3,207.1,4.51,191.9,1.86,30.1,27.3,5.57,1.14,2.6,34.2,6.9,415.9,5.71,393.1,0,0.429,Big Ten,0.001,-2.8,0,5,2020
Nebraska (Big Ten),0,8,0.365,0.405,0.615,0.65,0.681,6.75,60.62,20.75,21.38,34.67,6.64,9.75,190.1,7.2,11.42,217,13.33,0.857,4.11,0.857,4.11,4.17,169.5,4.82,201.4,2,29.4,23.1,6.38,1.62,6.6,28.7,5.46,386.5,5.56,391.5,-1.38,0.375,Big Ten,0.001,-6.3,0,5,2020
Northwestern (Big Ten),0,8,0.391,0.314,0.714,0.6,0.602,4.75,37,19.13,19.75,38.95,5.98,9.93,186.2,4.96,9.79,182.2,7.56,0.68,2.88,0.793,4.24,4.65,156.5,3.79,162.4,1.5,15.5,23.4,6.88,1.62,6.2,30.9,4.81,338.8,4.71,348.6,0.38,0.75,Big Ten,0.5,7.9,0,5,2020
Ohio St. (Big Ten),1,6,0.512,0.341,0.714,0.545,0.726,6,51.83,18.33,25.67,39.57,9.27,12.78,253.5,7.03,11.2,261.3,6.43,0.833,4.33,0.765,4.15,3.35,96.7,6.08,275.7,3,21,42.5,6.83,2.83,6,33.65,5.42,358,7.28,529.2,1.33,1,Big Ten,1,21.5,1,0,2020
Penn St. (Big Ten),0,9,0.421,0.37,0.5,0.357,0.603,4.33,37.22,17.33,24.78,38.79,7.5,12.45,256,6.72,11.38,198.6,24.62,0.893,4.61,0.757,3.81,3.67,130.2,3.9,174.3,3.11,27.7,29.8,6.11,2.44,6.7,33.68,5.06,328.8,5.46,430.3,-0.78,0.444,Big Ten,0.001,2.1,0,5,2020
Purdue (Big Ten),0,6,0.375,0.437,0.545,0.462,0.674,7,58.33,21.83,22.67,31.59,7.1,10.53,309,7.94,12.1,254.2,5.33,0.812,4.22,0.75,3.86,3.43,144.8,3.26,81.5,2,29.8,27.2,5.17,0.83,5.5,27.6,5.38,399,5.7,390.5,0.17,0.333,Big Ten,0.001,-2.6,0,5,2020
Rutgers (Big Ten),0,9,0.34,0.388,0.478,0.625,0.627,7.44,60.89,23.67,19,42.27,5.66,9.04,198.8,7.86,11.69,245.4,9.9,0.895,4.74,0.889,4.56,4.51,203.7,3.69,140.3,2.44,32.1,26.7,7.44,2.33,7.8,28.15,5.88,449.1,4.64,339.1,0.67,0.333,Big Ten,0.001,-5.4,0,5,2020
Wisconsin (Big Ten),0,6,0.393,0.254,0.364,0.143,0.61,5,42.83,13.33,19.67,39.47,6.17,10.12,187.2,6.14,11.85,169.8,2.56,0.692,3.46,0.857,4.43,3.39,93.7,4.14,171.7,2,15.7,22.3,5.33,1.67,5.2,36.75,4.76,263.5,5,358.8,-0.5,0.5,Big Ten,0.001,6.6,0,5,2020
Arizona (Pac-12),0,5,0.329,0.429,0.25,0.625,0.603,6.8,58.8,21.6,21.2,38.83,5.63,9.34,213,8.3,12.65,202.4,7,0.893,4.71,0.692,3.23,5.91,270.6,4.25,156.4,3.6,39.8,17.4,6.8,0.4,5,28.02,6.74,473,4.95,369.4,-1.8,0.001,Pac-12,0.001,-22.4,0,5,2020
Arizona St. (Pac-12),0,4,0.467,0.449,0.333,0.5,0.586,7,54.5,23.25,20.25,38.64,8.93,15.24,194.2,6.39,10.1,252.5,7,0.824,4.76,0.867,5,4.47,183.2,6.41,264.2,1.5,23.2,40.2,4.5,2.25,6,29.02,5.41,435.8,7.28,458.5,2,0.5,Pac-12,0.001,17,0,5,2020
California (Pac-12),0,4,0.373,0.407,0.5,0.5,0.616,4.5,35,18.5,18.25,35.29,5.59,9.07,192.8,7.5,12.11,196.8,5.25,0.75,3.94,0.786,4.07,4.45,170.2,3.43,126.8,3.75,26.5,20.2,8,1.75,5,31.6,5.69,367,4.47,319.5,0,0.25,Pac-12,1,-6.3,0,5,2020
Colorado (Pac-12),0,5,0.468,0.338,0.2,0.125,0.579,5.4,54.6,20.4,20,36.3,6.99,12.06,202.6,5.85,10.89,220,15.6,0.8,4,0.944,5.17,4.9,156.8,4.75,218.4,1.2,27,29.6,6.6,2.4,8.6,31.68,5.41,376.8,5.61,421,0,0.8,Pac-12,0.001,2.6,0,5,2020
Oregon (Pac-12),0,6,0.471,0.381,0.6,0.65,0.626,6.33,54.33,21.83,22.33,39.18,9.18,14.68,249.5,6.87,11.44,249.7,9.5,0.84,4.44,0.857,4.82,4.21,159.8,4.94,180.2,1.67,27.3,33.7,5.83,1.83,4.7,27.67,5.51,409.5,6.75,429.7,-0.83,0.667,Pac-12,1,6.4,1,5,2020
Oregon St. (Pac-12),0,7,0.404,0.467,0.632,0.556,0.575,6,50.57,22.14,22.14,32.93,6.35,11.04,211.3,7.75,12.29,224.7,17,0.893,4.5,0.893,4.93,5.56,217.6,5.36,197.6,1.71,33.3,28.9,4.29,1,3.9,27.95,6.49,442.3,5.83,408.9,-0.29,0.286,Pac-12,1,-4.4,0,5,2020
Southern California (Pac-12),0,6,0.438,0.392,0.667,0.417,0.672,6.67,71,21,22.5,40.78,7.23,10.76,319.3,6.94,10.73,216.3,4.3,0.938,4.88,0.794,4.24,4.24,153.3,3.17,97.3,2.5,26,33.3,7.17,2.5,6.7,30.1,5.49,369.7,5.57,416.7,0.83,0.833,Pac-12,0.001,7.3,0,5,2020
Stanford (Pac-12),0,6,0.482,0.513,0.857,1,0.653,5.67,51.67,23.17,22,36.52,7.75,11.86,286.7,8.33,13,216.7,5,0.862,4.55,0.889,5,5.46,222,4.05,133.5,1.67,31.7,29.3,3.83,1.5,4.8,31.85,6.58,438.7,6,420.2,0.33,0.667,Pac-12,0.5,-2.4,0,5,2020
UCLA (Pac-12),0,7,0.443,0.458,0.412,0.333,0.65,6.86,53.43,22,24.57,38.96,7.86,12.08,224.4,7.3,11.92,274.1,12.83,0.903,4.94,0.889,4.78,3.6,135.7,5.06,230.6,1.71,30.7,35.4,6.57,3.29,6.9,28.87,5.44,409.9,6.14,455,-0.29,0.429,Pac-12,0.001,4.7,0,5,2020
Utah (Pac-12),0,5,0.377,0.343,0.455,0.2,0.609,5.2,47.6,18.2,20.4,33.9,6.92,11.36,215.8,6.73,11.69,257.2,16.33,0.833,4.33,0.85,4.35,3.82,107.8,5.08,194,1.4,26,30.2,5.8,2,6.6,33.33,5.5,365,5.9,409.8,0,0.6,Pac-12,0.5,4.2,0,5,2020
Washington (Pac-12),0,4,0.481,0.423,0.833,0.5,0.613,5.25,40.5,20,21.75,29.09,8.16,13.32,226.5,6.32,10,185,18.67,0.786,4.71,0.889,4.33,4.54,161.2,4.52,176.2,0.25,25,30.2,2.5,2.5,4.2,31.87,5.35,346.2,6.03,402.8,1.25,0.75,Pac-12,0.001,5.2,0,3,2020
Washington St. (Pac-12),0,4,0.392,0.481,0.429,0.857,0.618,5.25,46.75,23.25,19.5,41.58,6.7,10.84,254.8,8.08,11.92,307,10,0.889,5.33,0.938,4.88,4.99,154.8,4.7,129.2,2.25,38.5,27,5.75,2,5.8,31.47,6.69,461.8,5.86,384,-0.5,0.25,Pac-12,0.001,-11.5,0,5,2020
Alabama (SEC),1,11,0.592,0.406,0.429,0.579,0.751,6,47.45,19.64,28,34.59,11.13,14.81,354.1,6.82,11.8,243.5,15.35,0.767,3.8,0.917,5.05,3.17,107.6,5.04,189.8,1.45,19.5,49.7,4,2.91,6.7,30.75,5.04,351.2,7.83,543.9,0.91,1,SEC,1,30.2,1,1,2020
Arkansas (SEC),0,10,0.338,0.468,0.636,0.583,0.644,6.4,45.7,25.5,20.7,36.24,8.46,13.13,240.2,6.78,10.22,259.6,4.5,0.783,4.3,0.909,4.82,4.62,192.1,3.84,151.3,3.4,34.9,25.7,6.5,1.4,5,25.28,5.65,451.7,5.77,391.5,0.5,0.3,SEC,0.167,-9.2,0,5,2020
Auburn (SEC),0,10,0.476,0.514,0.25,0.4,0.596,5.6,47.3,22.7,20.9,38.1,6.66,11.17,212.3,7.23,11.27,237.8,9.38,0.765,4.24,0.842,4.18,4.3,163.1,4.72,172.7,1.9,23.7,25.7,4.8,2.5,5.6,29.17,5.66,400.9,5.62,385,0.5,0.6,SEC,0.25,2,0,5,2020
Florida (SEC),0,11,0.52,0.409,0.6,0.652,0.692,5.09,43.73,22.64,26.18,43.4,9.98,14.43,388.4,7.62,11.84,258.3,12.64,0.829,4.39,0.93,4.95,3.94,146.5,4.04,120.5,1.73,28.6,41.6,4.55,3,6.5,30.25,5.69,404.7,7.4,508.8,-0.18,0.727,SEC,0.333,13,0,5,2020
Georgia (SEC),0,9,0.492,0.373,0.364,0.571,0.566,5.44,51.33,18.78,21.11,42.66,7.85,13.87,232.8,7.08,10.76,253.4,8.2,1,4.89,0.8,4.4,2.27,69.3,4.81,188.6,1.89,19.9,33.2,4.44,2.67,5.6,30.32,4.87,322.8,6.12,421.3,-0.11,0.778,SEC,0.6,13.3,0,2,2020
Kentucky (SEC),0,10,0.38,0.426,0.467,0.682,0.595,5.3,51.2,22.4,17.2,41.21,5.6,9.42,124.4,6.97,10.59,220.3,12.4,0.75,4.2,0.828,4.14,4.36,166.7,4.82,187.4,1.7,26.4,21.7,4,1.2,5,30.75,5.54,387,5.1,311.8,0.7,0.4,SEC,0.2,-4.7,0,5,2020
LSU (SEC),0,10,0.346,0.373,0.706,0.5,0.587,6.1,46.2,21.9,23.4,41.97,7.42,12.64,312.2,9.73,16.31,323,9.38,0.814,4.26,0.824,4.06,4.88,169,3.33,121.7,2.5,34.9,32,4.7,2.4,6.3,31.4,7.26,492,5.52,433.9,0.9,0.5,SEC,0.333,-2.9,0,0,2020
Mississippi St. (SEC),0,10,0.324,0.392,0.611,0.421,0.672,6.1,55.9,20.8,19.1,39.38,5.9,8.79,311.1,7.43,11.92,255,6.6,0.794,4.06,0.742,3.77,3.57,125.3,2.07,36,3,28.3,20.7,5.3,2,5.2,31.18,5.48,380.3,4.95,347.1,-0.9,0.3,SEC,0.25,-7.6,0,5,2020
Missouri (SEC),0,10,0.433,0.376,0.556,0.722,0.678,5.8,49.9,21.9,22.3,40.97,7.35,10.85,266.8,7.9,13.51,245.8,4.09,0.919,5.19,0.941,4.59,4.53,162.2,3.85,135.2,1.6,32.3,26.7,5.6,1.9,5,30.78,6.1,408,5.63,402,-0.5,0.5,SEC,0.2,-5.6,0,5,2020
Ole Miss (SEC),0,9,0.504,0.475,0.645,0.714,0.714,5.78,48.56,27.56,27.67,39.17,10.7,14.99,344.8,8.54,12.32,324.4,6.4,0.872,4.72,0.75,4.29,5.42,211.2,4.59,217.7,1.89,40.3,40.7,7.56,1.56,4.6,28.25,6.96,535.7,7.06,562.4,-0.78,0.444,SEC,0.001,0.4,0,5,2020
South Carolina (SEC),0,10,0.365,0.484,0.739,0.533,0.593,5,43.7,23.4,19.5,38.38,6.35,10.7,187.2,8.83,13.27,256.1,3.62,0.872,4.66,0.828,4.66,4.91,195.4,4.55,167.9,2.7,36,23.5,7.8,1.4,3.9,29.35,6.56,451.5,5.35,355.1,-0.4,0.2,SEC,0.2,-12.5,0,5,2020
Tennessee (SEC),0,10,0.302,0.476,0.667,0.444,0.628,6.1,50.2,22.1,20.2,41.84,7.18,11.44,204.7,8.46,12.42,265.8,7,0.884,4.47,0.739,4.17,3.68,141.6,3.77,141.5,2.9,30.1,21.5,5.4,2,5.5,27.95,5.83,407.4,5.25,346.2,-0.5,0.3,SEC,0.001,-8.6,0,5,2020
Texas A&M (SEC),0,9,0.567,0.352,0.286,0.636,0.63,5.89,54.67,17.44,23.89,39.19,7.64,12.12,234.3,7.24,11.34,224.3,6.5,0.909,4.77,0.854,4.54,3.33,92.2,5.35,202.9,0.44,21.1,31.7,3.78,2.67,6.1,35.1,5.4,316.6,6.38,437.2,0.56,0.889,SEC,0.5,10.6,0,5,2020
